name;YearMeanMean;YearMean05;YearMean95;YearPrecMean;YearPrec05;YearPrec95;GSMeanMean;GSMean05;GSMean95;Area (km²);EasternLim;WesternLim;NorthernLim;SouthernLim
Vaccinium vitis-idaea;4,281817652;-1,678529835;9,599270041;722,3414743;510,6464885;1232,746492;11,66764779;6,334473954;16,33787574;6561200;59,83;-7,83;71,17;41,17
Verbascum lychnitis;7,178875044;1,774430825;11,95397438;710,610362;490,6476956;1213,337446;15,33719627;11,53707655;19,46457176;3127600;59,83;6,83;61,17;38,83
Verbascum nigrum;7,3018097;2,13477955;12,5610402;736,2098568;516,2218758;1321,404822;13,83323688;10,6547609;17,90989764;5646400;59,83;-5,5;66,83;40,83
Betula pendula;4,946976087;-0,952896137;10,36843902;720,9319314;503,4922235;1266,117086;12,26649363;6,919131857;16,44545659;7402400;59,83;-10,5;69,17;42,83
Verbascum phoeniceum;7,780891901;3,103376226;12,78883366;708,9125913;472,1916855;1247,350245;15,94046359;12,42062115;19,07196879;3066800;59,83;7,83;56,5;38,5
Veronica chamaedrys;7,266948153;1,5000593;13,50475877;714,9793904;505,0422735;1233,876845;13,72322192;8,586599528;19,34405433;8319200;59,83;-10,5;69,5;36,83
Veronica hederifolia;10,24842416;6,130986112;16,21171029;724,7100158;505,3466529;1292,574288;15,36681787;11,06037354;20,72561532;4766800;28,5;-10,5;62,5;35,5
Veronica montana;9,284140823;6,048381786;12,93833698;744,2879679;515,1682037;1377,593108;14,06650576;10,83833295;17,66998692;2358000;27,17;-10,5;58,17;40,83
Veronica officinalis;7,056808183;1,157501232;14,14496918;735,1287684;506,4359023;1267,776403;13,51243422;8,289995908;18,63407794;8209600;58,83;-10,5;71,17;38,83
Veronica serpyllifolia;6,785850804;-0,311189829;14,66361802;711,6587287;490,5140671;1175,69567;13,30890033;7,81109806;19,64540267;9208000;59,83;-10,5;71,17;36,17
Betula pubescens;4,978303686;-1,1280581;10,65300106;709,634155;495,4811675;1233,691551;12,28200226;6,833529598;16,61509712;7402400;59,83;-10,5;69,17;42,83
